date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:56:07	36854/36854	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Apr%202021%2011:55:21%20GMT	https://preview.colorlib.com/theme/unioncorp/index.html	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/index.html	(from )
00:56:08	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
00:56:08	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	D:/financeTemplate/Finance/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:09	46591/46591	---M-Z	200	added ('OK')	text/css	etag:%225eb03eae-b5ff%22	https://cdnjs.cloudflare.com/ajax/libs/ionicons/4.5.6/css/ionicons.min.css	D:/financeTemplate/Finance/cdnjs.cloudflare.com/ajax/libs/ionicons/4.5.6/css/ionicons.min.css	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:09	53553/53553	---M-Z	200	added ('OK')	text/css	etag:%22d131-5c1f9f9584a6a-gzip%22	https://preview.colorlib.com/theme/unioncorp/css/animate.css	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/css/animate.css	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:10	1528/1528	---M-Z	200	added ('OK')	text/css	etag:%225f8-5c1f9f9584a6a-gzip%22	https://preview.colorlib.com/theme/unioncorp/css/flaticon.css	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/css/flaticon.css	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:11	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22882-5c21d1dca8245-gzip%22	https://preview.colorlib.com/theme/unioncorp/css/tiny-slider.css	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/css/tiny-slider.css	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:12	8815/8815	---M-Z	200	added ('OK')	text/css	etag:%22226f-5c1f9f9584a6a-gzip%22	https://preview.colorlib.com/theme/unioncorp/css/glightbox.min.css	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/css/glightbox.min.css	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:12	5714/5714	---M-Z	200	added ('OK')	text/css	etag:%221652-5c1f9f9584a6a-gzip%22	https://preview.colorlib.com/theme/unioncorp/css/aos.css	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/css/aos.css	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:13	4764/4764	---M-Z	200	added ('OK')	text/css	etag:%22129c-5c1f9f9584a6a-gzip%22	https://preview.colorlib.com/theme/unioncorp/css/datepicker.min.css	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/css/datepicker.min.css	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:13	79864/79864	---M-Z	200	added ('OK')	text/css	etag:%22137f8-5c1f9f9585a0a-gzip%22	https://preview.colorlib.com/theme/unioncorp/css/style.css	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/css/style.css	(from https://preview.colorlib.com/theme/unioncorp/index.html)
